lieu,N
Disque-monde (Lieu imaginaire),22
La Rochelle (France),22
Lune,22
Oran (Algérie),22
Orient,22
Saint-Tropez (France),22
San Diego (Calif.),22
São Paulo (Brésil),22
Sologne (France),22
Suffolk (Angleterre),22
Taiwan,22
Touraine (France),22
Balkans,21
Bristol (Angleterre),21
Charente (France),21
Chypre,21
Helsinki (Finlande),21
Irlande du Nord,21
Kaboul (Afghānistān),21
Picardie (France),21
Région frontalière mexicano-américaine,21
Transylvanie (Roumanie),21
Avignon (France),20
Camargue (France),20
Champagne (France),20
Charlevoix (Québec),20
Costa Rica,20
Côte-d'Ivoire,20
Estonie,20
Franche-Comté (France),20
Gênes (Italie),20
Hawaii,20
Houston (Tex.),20
Kent (Angleterre),20
Kyōto (Japon),20
Maryland,20
Mozambique,20
Nebraska,20
Rimouski (Québec),20
"Rocheuses, Montagnes",20
Birmanie,19
Bogotá (Colombie),19
Calabre (Italie),19
Dorset (Angleterre),19
Géorgie (République),19
Haute-Savoie (France),19
Limoges (France),19
Liverpool (Angleterre),19
Malte,19
Nancy (France),19
Nouvelle-Écosse,19
Pays basque espagnol (Espagne),19
Philippines,19
Tanzanie,19
Amérique centrale,18
Anvers (Belgique),18
Asie centrale,18
Bolivie,18
Californie (Sud),18
Cambridge (Mass.),18
Denver (Col.),18
Guinée,18
Lima (Pérou),18
Luberon (France),18
Malaisie,18
Ontario (Nord),18
"Paris, Région de (France)",18
Saint-Laurent (Fleuve),18
Scandinavie,18
"Vieux-Montréal (Montréal, Québec)",18
Alpes,17
Berry (France),17
Charlevoix (Québec : Région),17
Cincinnati (Ohio),17
Clermont-Ferrand (France),17
Dakota du Sud,17
Gatineau (Québec),17
Grenoble (France),17
Hollande (Pays-Bas),17
Languedoc (France),17
Laponie (Région),17
"Montréal-Nord (Montréal, Québec)",17
Pays basque (Espagne et France),17
Perpignan (France),17
Saint Louis (Missouri),17
Tchétchénie (Russie),17
Terre-Neuve,17
Toulon (France),17
Alpes françaises (France),16
Bologne (Italie),16
Delhi (Inde),16
Djibouti,16
Europe centrale,16
Hanoi (Viêt-nam),16
Majorque (Espagne),16
Niger,16
Ouganda,16
Piémont (Italie),16
Pyrénées-Orientales (France),16
Reims (France),16
Savoie (France),16
Togo,16
Alpes suisses (Suisse),15
Bath (Angleterre),15
Drôme (France),15
Flandre,15
"Harlem (New York, N.Y.)",15
"Hochelaga-Maisonneuve (Montréal, Québec)",15
"Léman, Lac (Suisse et France)",15
Longueuil (Québec),15
Lozère (France),15
Mauritanie,15
Norfolk (Angleterre),15
Nunavik (Québec),15
"Pacifique, Îles du",15
Rivière-du-Loup (Québec),15
"Saint-Henri (Montréal, Québec)",15
Sierra Leone,15
Terre-Neuve-et-Labrador,15
Trois-Pistoles (Québec),15
Zimbabwe,15
Annecy (France),14
Bahamas,14
Bénin,14
Bergen (Norvège),14
Beverly Hills (Calif.),14
"Boulevard Saint-Laurent (Montréal, Québec)",14
Californie (Nord),14
Cape Cod (Mass.),14
Cleveland (Ohio),14
Dubayy (Émirats arabes unis),14
Empire ottoman,14
Gascogne (France),14
"Hull (Gatineau, Québec)",14
Massif central (France),14
Mauricie (Québec),14
New Delhi (Inde),14
Oświęcim (Pologne),14
"Ré, Île de (France)",14
Smallville (Lieu imaginaire),14
Three Pines (Lieu imaginaire),14
Trenton (N.J.),14
Andes,13
"Antilles, Mer des",13
Aquitaine (France),13
Baie-James (Québec),13
"Belleville (Paris, France)",13
Bohême (République tchèque),13
Burkina Faso,13
Caracas (Venezuela),13
Chemins de Saint-Jacques-de-Compostelle,13
Edmonton (Alb.),13
"Everest, Mont (Chine et Népal)",13
Ex-Yougoslavie,13
Flandre (Belgique),13
Francfort-sur-le-Main (Allemagne),13
Gabon,13
Galilée (Israël),13
Ghāna,13
"Ghetto de Varsovie (Varsovie, Pologne)",13
Göteborg (Suède),13
Halifax (N.-É.),13
Italie (Nord),13
Judée,13
Martha's Vineyard (Mass.),13
Metz (France),13
Namibie,13
Ouessant (France),13
Paraguay,13
Phnom Penh (Cambodge),13
Pouilles (Italie),13
Slovaquie,13
Val-d'Or (Québec),13
Winnipeg (Man.),13
Amos (Québec),12
Arkansas,12
Asie du Sud-Est,12
Bali (Indonésie : Île),12
Caucase,12
Cayenne (Guyane française),12
Charleston (Car. du S.),12
Cologne (Allemagne),12
Dakota du Nord,12
Dijon (France),12
Équateur,12
Gironde (France),12
Gotland (Suède : Île),12
Hamptons (N.Y.),12
Johannesburg (Afrique du Sud),12
La Haye (Pays-Bas),12
Laos,12
Libreville (Gabon),12
Liège (Belgique),12
Montmagny (Québec),12
Nantucket (Mass. : Île),12
"Pacifique, Océan",12
Panamá,12
Portsmouth (Angleterre),12
Quimper (France),12
République tchèque,12
Rhode Island,12
"Saint-Étienne (Loire, France)",12
Saint-Hyacinthe (Québec),12
Salvador,12
Slovénie,12
Soudan,12
Territoires du Nord-Ouest,12
Vaud (Suisse),12
"Vieux-Québec (Québec, Québec)",12
Westmount (Québec),12
Yémen,12
"Adirondack, Monts (N.Y.)",11
Alpes-de-Haute-Provence (France),11
Arles (France),11
Babylone (Ville ancienne),11
Bari (Italie),11
Calais (France),11
Canaries,11
"Centre-Sud (Montréal, Québec)",11
"Côme, Lac de (Italie)",11
Dresde (Allemagne),11
États-Unis (Est),11
Fès (Maroc),11
Galice (Espagne),11
Granby (Québec),11
Highland (Écosse),11
"Indien, Océan",11
Isle of Wight (Angleterre),11
Jordanie,11
Lagos (Nigeria),11
Lorient (France),11
Monaco,11
Montevideo (Uruguay),11
Nîmes (France),11
Ostende (Belgique),11
Palm Beach (Flor.),11
Pittsburgh (Penns.),11
Poitou-Charentes (France),11
Pondichéry (Inde),11
Providence (R.I.),11
"Québec, Région de (Québec)",11
Rouergue (France),11
"Rue Saint-Denis (Montréal, Québec)",11
Saint-Pierre-et-Miquelon,11
Sainte-Adèle (Québec),11
Sofia (Bulgarie),11
"Sorel (Sorel-Tracy, Québec)",11
Tchad,11
Troie (Ville ancienne),11
Vercors (France),11
"Anticosti, Île d' (Québec)",10
Arabie (Péninsule),10
Arcachon (France),10
Baie-Saint-Paul (Québec),10
Barbade,10
"Bronx (New York, N.Y.)",10
Carcassonne (France),10
Carthage (Ville ancienne),10
Chamonix-Mont-Blanc (France),10
"Côte-des-Neiges (Montréal, Québec)",10
Cotentin (France),10
Cracovie (Pologne),10
Essaouira (Maroc),10
États-Unis (Nord-Ouest),10
États-Unis (Sud-Ouest),10
Fjällbacka (Suède),10
Galway (Irlande),10
Guyanes,10
Haute-Loire (France),10
Kiev (Ukraine),10
Kosovo (Serbie),10
Labrador (T.-N.-L.),10
Laurentides (Québec),10
"Laurentides, Région des (Québec)",10
"Le Marais (Paris, France)",10
Manaus (Brésil),10
"Matapédia, Vallée de la (Québec)",10
Médoc (France),10
Mezzogiorno (Italie),10
"Montparnasse (Paris, France)",10
"Montréal, Agglomération de (Québec)",10
New Iberia (Louis.),10
Nottingham (Angleterre),10
Océanie,10
"Orléans, Île d' (Québec)",10
Pompéi (Ville ancienne),10
"Saint-Jérôme (La Rivière-du-Nord, Québec)",10
"Saint-Nazaire (Loire-Atlantique, France)",10
Santa Fe (N.-M.),10
Sept-Îles (Québec),10
Somalie,10
"Villeray (Montréal, Québec)",10
"Vrénalik, Archipel de (Lieu imaginaire)",10
Afrique centrale,9
Århus (Danemark),9
Aubrac (France),9
Australie-Occidentale,9
Autremonde (Lieu imaginaire),9
Basse-Côte-Nord (Québec),9
Bornéo,9
Bourges (France),9
Buffalo (N.Y.),9
Burundi,9
Cachemire,9
Calcutta (Inde),9
Canton (Chine),9
Cap-Vert,9
"Cape Cod, Région de (Mass.)",9
Capri (Italie),9
Charlotte (Car. du N.),9
Cisjordanie,9
Empire byzantin,9
Essex (Angleterre),9
Gévaudan (France),9
Grenade (Espagne),9
Groix (France),9
Hébrides (Écosse),9
Hiroshima (Japon),9
Île-du-Prince-Édouard,9
Jura (Suisse),9
"Limoilou (Québec, Québec)",9
Lituanie,9
Lourdes (France),9
Macao (Chine),9
Malibu (Calif.),9
Marne (France),9
Memphis (Tenn.),9
"Mile End (Montréal, Québec)",9
Mulhouse (France),9
Nicaragua,9
Nord-Pas-de-Calais (France),9
"Nord, Mer du",9
Nouvelle-Galles du Sud,9
Odessa (Ukraine),9
"Oléron, Île d' (France)",9
Parme (Italie),9
Pas-de-Calais (France),9
Pau (France),9
Percé (Québec),9
Phoenix (Ariz.),9
Polynésie,9
Princeton (N.J.),9
Royaumes oubliés (Lieu imaginaire),9
Saint-Jacques-de-Compostelle (Espagne),9
Seine-Saint-Denis (France),9
Sète (France),9
Silicon Valley (Calif.),9
Somerset (Angleterre),9
Tchernobyl (Ukraine),9
Texas (Est),9
Uppsala (Suède),9
"Vancouver, Île de (C.-B.)",9
Var (France),9
"Verdun (Meuse, France)",9
Vérone (Italie),9
Alep (Syrie),8
Atlantic City (N.J.),8
Autriche-Hongrie,8
Bangalore (Inde),8
Beauce (France),8
Bethléem,8
"Bordeaux, Région de (France)",8
Cancún (Mexique),8
Cardiff (Pays de Galles),8
Castille (Espagne),8
Causses (France),8
Charente-Maritime (France),8
Compiègne (France),8
Cordoue (Espagne),8
Deauville (France),8
Drummondville (Québec),8
États-Unis (Nord-Est),8
Fort-de-France (Martinique),8
France (Est),8
Galicie (Pologne et Ukraine),8
"Gaza, Bande de",8
Gernia (Lieu imaginaire),8
Gers (France),8
Gloucestershire (Angleterre),8
Haute-Provence (France),8
Hautes-Alpes (France),8
Île-de-France (France),8
Kamouraska (Québec),8
Katmandou (Népal),8
Kinshasa (Congo),8
L'Île-d'Orléans (Québec),8
Leipzig (Allemagne),8
Liberia,8
Loire (France),8
Loire-Atlantique (France),8
Louiseville (Québec),8
Macédoine,8
Mayenne (France),8
Meuse (France),8
Midkemia (Lieu imaginaire),8
Milwaukee (Wisc.),8
Montségur (France),8
Nairobi (Kenya),8
Northumberland (Angleterre),8
Occitanie,8
"Pacifique, Côte du (États-Unis)",8
Polynésie française,8
Queensland,8
Rocheuses canadiennes (C.-B. et Alb.),8
"Rosemont (Montréal, Québec)",8
Roubaix (France),8
Rouyn-Noranda (Québec),8
Royan (France),8
Saint-Jean-sur-Richelieu (Québec),8
Savannah (Géorgie),8
Savoie (France : Région),8
Tadoussac (Québec),8
Tallin (Estonie),8
Tampa (Flor.),8
Témiscamingue (Québec),8
Tours (France),8
Trinité-et-Tobago,8
Valais (Suisse),8
Vilnious (Lituanie),8
Yucatán (Mexique : État),8
Afrique des Grands Lacs,7
Albuquerque (N.-M.),7
Alentejo (Portugal),7
Alpes italiennes (Italie),7
Angers (France),7
Angleterre (Nord),7
Angleterre (Sud),7
